ID,Country,City
1,Wyspy Kanaryjskie, Puerto Calero
2,Zanzibar, Nungwi
3,Cypr, Ajia Napa
4,Malta, Bugibba
5,Tunezja, Monastyr
6,Grecja, Kalives Poligirou
7,Bułgaria, Słoneczny Brzeg
8,Grecja, Adelianos Kampos
9,Sri Lanka, Wadduwa
10,Zjednoczone Emiraty Arabskie, Ras Al-chajma
11,Tajlandia, Krabi
12,Egipt, Hurghada
13,Mauritius, Riviere Du Rempart
14,Chorwacja, Zadar
15,Chorwacja, Pag
16,Malediwy, Uthurumaafaru
17,Malediwy, Ookolhufinolhu
18,Zanzibar,Zanzibar
19,Grecja, Ierápetra
20,Grecja, Kolymbari
21,Wyspy Zielonego Przylądka, Santa Maria (sal)
22,Wyspy Kanaryjskie, San Miguel De Abona
23,Chorwacja, Orebić
24,Turcja, Didim
25,Turcja, Akyarlar
26,Turcja, Side
27,Grecja, Faliraki
28,Bułgaria, Święty Konstantyn I Święta Helena
29,Madera, Funchal
30,Turcja, Antalya
31,Turcja, Goynuk
32,Malediwy, Bathalaa
33,Egipt, Makadi Bay
34,Zanzibar, Kigomani
35,Wyspy Kanaryjskie, Jandia
36,Tajlandia, Karon Beach (phuket)
37,Tajlandia, Khuk Khak
38,Malediwy, Kihaadhuffaru
39,Cypr, Protaras
40,Cypr, Pafos
41,Grecja, Kiotari
42,Chorwacja, Bol
43,Wyspy Kanaryjskie, Playa Paraiso
44,Bułgaria, Złote Piaski
45,Zanzibar, Kiwengwa
46,Madagaskar, Nosy Be
47,Turcja, Kızılot
48,Malediwy, Horubadhoo
49,Wyspy Kanaryjskie, Puerto Rico
50,Dominikana, Punta Cana
51,Malediwy, Athuruga Island
52,Grecja, Alikí
53,Wyspy Kanaryjskie, Puerto De Santiago
54,Malediwy, Thundufushi
55,Zjednoczone Emiraty Arabskie, Marjan Island
56,Madera, Santa Cruz
57,Wyspy Kanaryjskie, Puerto Del Carmen
58,Egipt, Al-kusajr
59,Polska,Bydgoszcz
60,Polska,Łódź
61,Polska,Kraków
62,Polska,Warszawa
63,Polska,Poznań
64,Polska,Rzeszów
65,Polska,Szczecin
66,Polska,Wrocław
67,Polska,Gdańsk
68,Polska,Katowice
69,Polska,Modlin
